gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,expected_tenure,CLV,Cluster,Contract,PaymentMethod
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,1,0,0,0,0,0,1,20.2,2,Month-to-month,Bank transfer (automatic)
1,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,0,0,0,0,0,0,0,1,45.25,2,Month-to-month,Bank transfer (automatic)
0,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,1,0,0,1,0,0,0,72,7192.8,1,Two year,Bank transfer (automatic)
1,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,1,0,0,0,0,1,0,5,348.5,3,Month-to-month,Electronic check
0,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,1,0,0,0,1,0,0,46,3440.7999999999997,1,Month-to-month,Credit card (automatic)
1,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,1,0,0,0,0,1,0,34,3615.8999999999996,1,Month-to-month,Electronic check
0,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,1,0,0,0,0,0,0,11,1076.35,3,Month-to-month,Bank transfer (automatic)
1,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,0,0,1,0,0,0,1,10,495.5,2,One year,Mailed check
0,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,0,0,0,1,1,0,0,70,4844.0,1,Two year,Credit card (automatic)
0,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,0,1,1,0,0,0,1,17,352.75,2,One year,Mailed check
0,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,0,0,0,1,1,0,0,63,5030.549999999999,1,Two year,Credit card (automatic)
0,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,0,0,0,0,0,1,0,13,990.6,3,Month-to-month,Electronic check
0,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0,1,0,0,0,0,1,0,49,4140.5,1,Month-to-month,Electronic check
1,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,0,0,0,0,0,0,1,2,98.5,2,Month-to-month,Mailed check
0,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,1,0,0,0,0,1,0,2,161.3,3,Month-to-month,Electronic check
1,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0,0,0,0,1,1,0,0,52,4147.0,1,Two year,Credit card (automatic)
0,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0,0,0,0,1,1,0,0,69,4426.35,1,Two year,Credit card (automatic)
0,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,0,1,0,0,0,0,1,0,43,3880.75,1,Month-to-month,Electronic check
0,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,1,0,0,0,1,0,0,15,1486.5,3,Month-to-month,Credit card (automatic)
0,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,0,0,0,0,0,1,0,0,25,1737.5,3,Month-to-month,Credit card (automatic)
0,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,1,0,0,0,1,0,0,8,645.2,3,Month-to-month,Credit card (automatic)
0,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,0,0,1,0,1,0,0,60,4491.0,1,One year,Credit card (automatic)
1,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,1,0,0,0,0,1,0,18,1718.1000000000001,3,Month-to-month,Electronic check
0,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,0,1,0,1,0,1,0,0,63,6277.950000000001,1,One year,Credit card (automatic)
1,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,0,1,0,1,0,0,1,0,66,7157.7,1,One year,Electronic check
0,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,0,0,1,0,1,1,0,0,34,848.3,0,Two year,Credit card (automatic)
0,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,0,1,0,0,1,1,0,0,72,7740.0,1,Two year,Credit card (automatic)
0,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,1,0,0,0,0,1,0,47,4723.5,1,Month-to-month,Electronic check
1,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,0,1,0,0,0,0,0,0,60,5394.0,1,Month-to-month,Bank transfer (automatic)
1,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,0,0,0,0,1,0,0,0,72,3031.2000000000003,0,Two year,Bank transfer (automatic)
0,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,0,0,0,1,0,1,0,0,18,979.1999999999999,2,One year,Credit card (automatic)
0,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,1,0,0,0,0,1,0,9,849.6,3,Month-to-month,Electronic check
0,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,0,0,0,0,0,1,0,3,225.89999999999998,3,Month-to-month,Electronic check
1,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,0,1,0,1,0,0,1,0,47,3708.3,1,One year,Electronic check
0,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,0,0,0,0,1,0,0,1,31,2455.2000000000003,3,Two year,Mailed check
0,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,0,0,1,0,1,0,0,0,50,1007.4999999999999,0,Two year,Bank transfer (automatic)
1,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,1,0,0,0,0,0,1,10,798.5,3,Month-to-month,Mailed check
1,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,0,0,0,0,0,0,1,1,49.05,2,Month-to-month,Mailed check
0,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,0,0,1,1,0,0,1,0,52,1060.8,0,One year,Electronic check
1,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,0,1,0,0,1,0,0,0,64,7142.4,1,Two year,Bank transfer (automatic)
1,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,0,0,1,0,1,0,0,0,62,1503.5,0,Two year,Bank transfer (automatic)
0,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,0,0,0,0,0,0,0,3,193.5,3,Month-to-month,Bank transfer (automatic)
0,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,0,1,0,1,0,0,1,0,56,6188.0,1,One year,Electronic check
0,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,0,0,0,1,0,1,0,0,46,2559.9,0,One year,Credit card (automatic)
0,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,0,0,0,0,0,0,1,8,437.2,2,Month-to-month,Mailed check
1,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,0,0,0,0,0,0,1,0,30,2242.5,3,Month-to-month,Electronic check
0,0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,0,0,1,1,0,1,0,0,45,1165.5,0,One year,Credit card (automatic)
0,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,1,1,0,0,0,0,1,0,1,79.35,3,Month-to-month,Electronic check
0,0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,0,0,0,0,0,0,1,0,11,556.05,2,Month-to-month,Electronic check
0,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,1,0,0,0,0,0,0,7,526.0500000000001,3,Month-to-month,Bank transfer (automatic)
0,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,0,1,0,0,0,0,0,0,42,4359.599999999999,1,Month-to-month,Bank transfer (automatic)
0,0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,973.35,0,0,1,0,1,0,0,0,49,987.3499999999999,0,Two year,Bank transfer (automatic)
1,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,0,1,0,0,0,1,0,0,9,893.6999999999999,3,Month-to-month,Credit card (automatic)
0,0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,0,0,0,1,0,0,0,0,35,2175.25,3,One year,Bank transfer (automatic)
0,0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,0,0,1,0,1,0,0,0,48,991.1999999999999,0,Two year,Bank transfer (automatic)
0,0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,0,0,1,0,1,0,0,1,46,917.6999999999999,0,Two year,Mailed check
1,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,0,0,0,0,0,0,0,1,29,978.75,2,Month-to-month,Mailed check
1,0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,0,1,0,0,0,0,0,0,30,2461.5,3,Month-to-month,Bank transfer (automatic)
1,1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,0,1,0,0,0,0,1,0,1,74.7,3,Month-to-month,Electronic check
1,0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,0,0,0,0,1,0,0,1,66,5544.0,1,Two year,Mailed check
0,0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,0,1,0,0,0,1,0,0,65,7218.25,1,Month-to-month,Credit card (automatic)
1,0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,0,1,0,0,1,0,0,0,72,7264.8,1,Two year,Bank transfer (automatic)
0,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,1,0,0,0,0,1,0,12,947.4000000000001,3,Month-to-month,Electronic check
1,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,0,0,0,1,0,1,0,0,71,4746.349999999999,1,One year,Credit card (automatic)
1,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,0,1,0,0,0,0,1,5,105.25,2,Month-to-month,Mailed check
1,0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,0,0,1,0,1,0,0,0,52,1092.0,0,Two year,Bank transfer (automatic)
0,1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,1,0,0,0,0,1,0,25,2462.5,3,Month-to-month,Electronic check
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,1,0,0,0,0,1,1,20.2,2,Month-to-month,Mailed check
0,0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,0,0,1,0,0,0,1,0,1,19.45,2,Month-to-month,Electronic check
1,0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,0,1,0,1,0,0,0,0,38,3610.0,1,One year,Bank transfer (automatic)
0,1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,0,0,0,1,0,0,0,0,66,3006.2999999999997,0,One year,Bank transfer (automatic)
1,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,1,0,0,1,0,0,0,68,7480.0,1,Two year,Bank transfer (automatic)
1,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,0,0,0,0,0,0,1,5,121.5,2,Month-to-month,Mailed check
0,0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,0,1,0,1,0,0,1,0,72,7498.8,1,One year,Electronic check
0,0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,0,0,0,1,0,0,0,1,32,964.8,2,One year,Mailed check
1,0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,0,1,0,1,0,0,0,1,43,4057.0499999999997,1,One year,Mailed check
1,0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,0,0,1,0,1,1,0,0,72,1396.8,0,Two year,Credit card (automatic)
1,0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,1,0,0,0,0,1,0,55,5321.25,1,Month-to-month,Electronic check
0,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,0,0,0,1,0,1,0,0,52,3013.4,0,One year,Credit card (automatic)
0,0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,0,1,0,0,0,0,1,0,43,3940.9500000000003,1,Month-to-month,Electronic check
0,1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,1,1,0,0,0,0,1,0,37,2830.5,3,Month-to-month,Electronic check
0,0,1,1,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,0,0,0,0,1,0,1,0,64,3494.4,0,Two year,Electronic check
1,0,1,1,3,1,0,1,1,0,0,1,0,0,89.85,248.4,0,1,0,0,0,0,1,0,3,269.54999999999995,3,Month-to-month,Electronic check
0,0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,0,0,0,0,1,0,0,0,36,1117.8,0,Two year,Bank transfer (automatic)
0,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,1,0,0,0,0,1,0,10,1002.5,3,Month-to-month,Electronic check
0,0,0,0,41,1,0,0,0,0,0,0,0,0,20.65,835.15,0,0,1,0,1,0,0,1,41,846.65,0,Two year,Mailed check
1,0,1,1,27,1,1,0,1,0,1,0,0,1,85.2,2151.6,0,1,0,0,0,1,0,0,27,2300.4,3,Month-to-month,Credit card (automatic)
0,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,0,1,0,1,0,1,0,0,56,5588.8,1,One year,Credit card (automatic)
0,0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,0,0,1,0,0,0,0,1,6,124.19999999999999,2,Month-to-month,Mailed check
1,0,0,0,3,1,1,0,0,0,0,0,0,1,74.4,229.55,1,1,0,0,0,0,1,0,3,223.20000000000002,3,Month-to-month,Electronic check
0,0,1,1,7,1,0,1,0,0,0,0,0,0,50.7,350.35,0,0,0,0,0,0,0,1,7,354.90000000000003,2,Month-to-month,Mailed check
0,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,0,1,0,0,0,0,1,4,83.4,2,Month-to-month,Mailed check
1,0,0,0,33,1,0,1,0,0,1,1,0,1,88.95,3027.65,0,1,0,0,1,0,1,0,33,2935.35,3,Two year,Electronic check
0,1,0,0,27,1,1,0,0,1,0,0,0,1,78.05,2135.5,1,1,0,0,0,0,1,0,27,2107.35,3,Month-to-month,Electronic check
1,0,1,0,72,1,1,0,0,0,0,0,0,1,23.55,1723.95,0,0,1,0,1,0,0,0,72,1695.6000000000001,0,Two year,Bank transfer (automatic)
1,0,0,0,1,1,0,0,0,0,0,0,0,0,19.75,19.75,0,0,1,0,0,0,0,1,1,19.75,2,Month-to-month,Mailed check
1,1,0,0,71,0,0,1,1,0,0,1,1,1,56.45,3985.35,0,0,0,1,0,0,1,0,71,4007.9500000000003,0,One year,Electronic check
0,0,0,0,13,1,1,0,0,0,0,0,1,1,85.95,1215.65,0,1,0,0,0,0,1,0,13,1117.3500000000001,3,Month-to-month,Electronic check
0,0,1,1,25,0,0,1,1,1,0,1,1,1,58.6,1502.65,1,0,0,0,0,1,0,0,25,1465.0,3,Month-to-month,Credit card (automatic)
1,0,0,0,67,1,0,0,0,0,1,0,0,0,50.55,3260.1,0,0,0,0,1,0,0,0,67,3386.85,0,Two year,Bank transfer (automatic)
1,0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1,0,0,0,0,0,1,0,1,35.45,2,Month-to-month,Electronic check
1,0,0,0,2,1,0,0,0,0,0,0,0,0,44.35,81.25,1,0,0,0,0,0,1,0,2,88.7,2,Month-to-month,Electronic check
0,0,0,0,43,1,1,0,0,0,0,0,0,1,25.7,1188.2,0,0,1,0,1,1,0,0,43,1105.1,0,Two year,Credit card (automatic)
0,0,0,0,23,1,0,1,0,0,0,0,0,1,75.0,1778.5,0,1,0,0,0,0,0,0,23,1725.0,3,Month-to-month,Bank transfer (automatic)
0,0,1,1,64,1,0,0,0,0,0,0,0,0,20.2,1277.75,0,0,1,0,1,0,0,1,64,1292.8,0,Two year,Mailed check
1,0,0,1,57,1,0,0,0,0,0,0,0,1,19.6,1170.55,0,0,1,0,1,0,0,1,57,1117.2,0,Two year,Mailed check
0,1,1,0,1,1,0,0,0,0,0,0,0,1,70.45,70.45,1,1,0,0,0,0,0,1,1,70.45,3,Month-to-month,Mailed check
0,1,1,1,72,1,1,1,1,1,1,1,1,1,88.05,6425.65,0,0,0,0,1,1,0,0,72,6339.599999999999,1,Two year,Credit card (automatic)
0,0,0,0,8,1,1,1,0,0,1,0,1,0,71.15,563.65,1,0,0,0,0,0,1,0,8,569.2,3,Month-to-month,Electronic check
0,0,1,0,61,1,1,0,1,0,0,1,1,1,101.05,5971.25,0,1,0,0,1,0,0,0,61,6164.05,1,Two year,Bank transfer (automatic)
1,0,0,0,64,1,1,1,1,0,0,0,0,1,84.3,5289.05,0,1,0,1,0,1,0,0,64,5395.2,1,One year,Credit card (automatic)
1,1,1,0,71,1,1,0,0,0,0,0,0,0,23.95,1756.2,0,0,1,0,1,0,0,0,71,1700.45,0,Two year,Bank transfer (automatic)
0,0,1,1,65,1,1,1,1,0,1,1,0,1,99.05,6416.7,0,1,0,0,1,1,0,0,65,6438.25,1,Two year,Credit card (automatic)
1,0,0,0,3,1,0,0,0,0,0,0,0,0,19.6,61.35,0,0,1,1,0,0,0,1,3,58.800000000000004,2,One year,Mailed check
1,0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,1,0,0,0,0,0,1,0,1,45.65,2,Month-to-month,Electronic check
1,0,0,1,30,1,0,0,1,1,0,1,0,0,64.5,1929.95,0,0,0,1,0,1,0,0,30,1935.0,3,One year,Credit card (automatic)
1,0,1,1,15,1,0,0,1,1,1,0,1,1,69.5,1071.4,0,0,0,0,0,0,0,1,15,1042.5,3,Month-to-month,Mailed check
0,0,1,1,8,1,0,0,0,0,1,1,1,1,68.55,564.35,0,0,0,0,0,0,1,0,8,548.4,3,Month-to-month,Electronic check
1,0,0,0,7,1,1,0,0,0,0,1,1,0,95.0,655.5,1,1,0,0,0,0,0,1,7,665.0,3,Month-to-month,Mailed check
0,0,1,1,70,1,1,1,1,1,0,1,1,1,108.15,7930.55,0,1,0,1,0,1,0,0,70,7570.5,1,One year,Credit card (automatic)
1,0,1,1,62,1,0,1,1,1,1,1,1,0,86.1,5215.25,0,0,0,0,1,0,1,0,62,5338.2,1,Two year,Electronic check
0,0,1,1,6,1,0,0,0,0,0,0,0,0,19.7,113.5,0,0,1,0,0,0,0,1,6,118.19999999999999,2,Month-to-month,Mailed check
0,0,1,1,14,1,0,0,0,0,0,0,1,1,80.9,1152.8,0,1,0,0,0,0,0,0,14,1132.6000000000001,3,Month-to-month,Bank transfer (automatic)
0,0,0,0,22,1,1,0,0,0,0,1,0,1,84.15,1821.95,0,1,0,0,0,0,0,0,22,1851.3000000000002,3,Month-to-month,Bank transfer (automatic)
1,0,1,1,22,1,0,0,0,0,0,0,0,0,20.15,419.9,0,0,1,1,0,0,0,1,22,443.29999999999995,2,One year,Mailed check
1,0,1,1,16,1,0,1,0,1,0,1,0,0,64.25,1024.0,0,0,0,0,1,0,0,1,16,1028.0,3,Two year,Mailed check
1,0,0,0,10,1,1,0,0,0,0,0,0,0,25.7,251.6,0,0,1,0,1,0,0,0,10,257.0,2,Two year,Bank transfer (automatic)
0,0,0,1,13,1,0,1,1,0,0,0,0,1,56.0,764.55,0,0,0,0,0,0,1,0,13,728.0,2,Month-to-month,Electronic check
0,0,1,0,20,1,1,1,0,0,0,0,0,0,82.4,1592.35,1,1,0,0,0,0,1,0,20,1648.0,3,Month-to-month,Electronic check
0,0,0,0,2,1,0,0,0,0,0,0,0,1,69.7,135.2,0,1,0,0,0,0,1,0,2,139.4,3,Month-to-month,Electronic check
1,0,0,0,53,1,1,0,1,1,1,0,1,1,73.9,3958.25,0,0,0,0,1,0,0,0,53,3916.7000000000003,1,Two year,Bank transfer (automatic)
0,0,1,1,11,1,0,0,0,0,0,0,0,0,20.6,233.9,0,0,1,1,0,0,0,1,11,226.60000000000002,2,One year,Mailed check
1,0,1,0,69,1,0,0,0,0,0,0,0,0,19.9,1363.45,0,0,1,0,1,0,0,1,69,1373.1,0,Two year,Mailed check
0,0,0,0,4,1,0,0,0,0,0,0,0,1,70.9,273.0,1,1,0,0,0,0,0,0,4,283.6,3,Month-to-month,Bank transfer (automatic)
1,0,1,0,72,1,1,1,1,1,1,1,1,1,89.05,6254.45,0,0,0,0,1,0,0,0,72,6411.599999999999,1,Two year,Bank transfer (automatic)
1,1,1,0,58,0,0,0,1,1,0,0,1,1,45.3,2651.2,1,0,0,0,0,0,1,0,58,2627.3999999999996,0,Month-to-month,Electronic check
0,0,1,1,16,1,0,0,0,0,0,0,0,0,20.4,321.4,0,0,1,0,0,0,1,0,16,326.4,2,Month-to-month,Electronic check
1,0,1,0,43,1,0,1,0,1,1,0,0,1,84.25,3539.25,0,1,0,1,0,0,0,0,43,3622.75,1,One year,Bank transfer (automatic)
0,0,1,0,2,1,1,0,0,1,1,1,1,1,104.4,242.8,1,1,0,0,0,0,1,0,2,208.8,3,Month-to-month,Electronic check
1,0,1,0,14,1,0,0,1,1,1,1,1,0,81.95,1181.75,0,0,0,0,1,0,0,1,14,1147.3,3,Two year,Mailed check
0,0,1,0,53,1,0,0,0,1,0,1,1,1,94.85,5000.2,1,1,0,1,0,0,0,0,53,5027.049999999999,1,One year,Bank transfer (automatic)
0,0,0,0,32,1,0,0,0,0,0,0,0,0,20.55,654.55,0,0,1,1,0,0,0,0,32,657.6,2,One year,Bank transfer (automatic)
0,0,1,0,34,1,1,0,0,0,0,0,0,0,24.7,780.2,0,0,1,0,0,0,1,0,34,839.8,0,Month-to-month,Electronic check
0,1,0,0,15,1,1,0,0,0,0,0,0,1,74.45,1145.7,1,1,0,0,0,0,0,1,15,1116.75,3,Month-to-month,Mailed check
0,1,0,0,7,1,0,1,0,0,0,0,0,0,76.45,503.6,1,1,0,0,0,0,0,0,7,535.15,3,Month-to-month,Bank transfer (automatic)
